CASENAME,DAYS,DATE,WGNAME,KEYWORD,VALUE,UNITS,COMMENT
HISTORY,0,2015-01-01,1,BPR,3590.24,PSIA,NA
HISTORY,3.3,2015-01-04,1,BPR,3568.46,PSIA,NA
HISTORY,10,2015-01-11,1,BPR,3530.16,PSIA,NA
HISTORY,20,2015-01-21,1,BPR,3481.06,PSIA,NA
HISTORY,30,2015-01-31,1,BPR,3436.85,PSIA,NA
HISTORY,40,2015-02-10,1,BPR,3396.04,PSIA,NA
HISTORY,50,2015-02-20,1,BPR,3355.97,PSIA,NA
HISTORY,60,2015-03-02,1,BPR,3314.36,PSIA,NA
HISTORY,70,2015-03-12,1,BPR,3272.98,PSIA,NA
HISTORY,80,2015-03-22,1,BPR,3231.23,PSIA,NA
HISTORY,90,2015-04-01,1,BPR,3188.75,PSIA,NA
HISTORY,100,2015-04-11,1,BPR,3146.2,PSIA,NA
HISTORY,110,2015-04-21,1,BPR,3102.75,PSIA,NA
HISTORY,120,2015-05-01,1,BPR,3057.68,PSIA,NA
HISTORY,130,2015-05-11,1,BPR,3011.08,PSIA,NA
HISTORY,140,2015-05-21,1,BPR,2963.34,PSIA,NA
HISTORY,150,2015-05-31,1,BPR,2915.23,PSIA,NA
HISTORY,160,2015-06-10,1,BPR,2864.72,PSIA,NA
HISTORY,170,2015-06-20,1,BPR,2812.2,PSIA,NA
HISTORY,180,2015-06-30,1,BPR,2759.01,PSIA,NA
HISTORY,190,2015-07-10,1,BPR,2705.29,PSIA,NA
HISTORY,200,2015-07-20,1,BPR,2650.63,PSIA,NA
HISTORY,210,2015-07-30,1,BPR,2594.97,PSIA,NA
HISTORY,220,2015-08-09,1,BPR,2538.67,PSIA,NA
HISTORY,230,2015-08-19,1,BPR,2482.33,PSIA,NA
HISTORY,240,2015-08-29,1,BPR,2426.15,PSIA,NA
HISTORY,250,2015-09-08,1,BPR,2370.43,PSIA,NA
HISTORY,260,2015-09-18,1,BPR,2319.19,PSIA,NA
HISTORY,270,2015-09-28,1,BPR,2272.34,PSIA,NA
HISTORY,280,2015-10-08,1,BPR,2229.11,PSIA,NA
HISTORY,290,2015-10-18,1,BPR,2188.9,PSIA,NA
HISTORY,300,2015-10-28,1,BPR,2151.06,PSIA,NA
HISTORY,310,2015-11-07,1,BPR,2183.23,PSIA,NA
HISTORY,320,2015-11-17,1,BPR,2228.86,PSIA,NA
HISTORY,330,2015-11-27,1,BPR,2272.19,PSIA,NA
HISTORY,340,2015-12-07,1,BPR,2310.49,PSIA,NA
HISTORY,350,2015-12-17,1,BPR,2344,PSIA,NA
HISTORY,360,2015-12-27,1,BPR,2373.68,PSIA,NA
HISTORY,370,2016-01-06,1,BPR,2331.49,PSIA,NA
HISTORY,380,2016-01-16,1,BPR,2276.04,PSIA,NA
HISTORY,390,2016-01-26,1,BPR,2224.77,PSIA,NA
HISTORY,400,2016-02-05,1,BPR,2177.17,PSIA,NA
HISTORY,410,2016-02-15,1,BPR,2132.08,PSIA,NA
HISTORY,420,2016-02-25,1,BPR,2088.97,PSIA,NA
HISTORY,430,2016-03-06,1,BPR,2047.58,PSIA,NA
HISTORY,440,2016-03-16,1,BPR,2007.6,PSIA,NA
HISTORY,450,2016-03-26,1,BPR,1968.83,PSIA,NA
HISTORY,460,2016-04-05,1,BPR,1931.01,PSIA,NA
HISTORY,470,2016-04-15,1,BPR,1893.97,PSIA,NA
HISTORY,480,2016-04-25,1,BPR,1858.11,PSIA,NA
