DAYS,DATE,FGOR,FGPR,FOPR,FWPR,WBHP:INJE1,WBHP:PRODU2,WBHP:PRODU3,WBHP:PRODU4,WBHP:PRODU5,WBHP:PRODU6,WBHP:PRODU7,WBHP:PRODU8,WBHP:PRODU9,WBHP:PRODU10,WBHP:PRODU11,WBHP:PRODU12,WBHP:PRODU13,WBHP:PRODU14,WBHP:PRODU15,WBHP:PRODU16,WBHP:PRODU17,WBHP:PRODU18,WBHP:PRODU19,WBHP:PRODU20,WBHP:PRODU21,WBHP:PRODU22,WBHP:PRODU23,WBHP:PRODU24,WBHP:PRODU25,WBHP:PRODU26,WGIR:INJE1,WGIR:PRODU2,WGIR:PRODU3,WGIR:PRODU4,WGIR:PRODU5,WGIR:PRODU6,WGIR:PRODU7,WGIR:PRODU8,WGIR:PRODU9,WGIR:PRODU10,WGIR:PRODU11,WGIR:PRODU12,WGIR:PRODU13,WGIR:PRODU14,WGIR:PRODU15,WGIR:PRODU16,WGIR:PRODU17,WGIR:PRODU18,WGIR:PRODU19,WGIR:PRODU20,WGIR:PRODU21,WGIR:PRODU22,WGIR:PRODU23,WGIR:PRODU24,WGIR:PRODU25,WGIR:PRODU26,WGPR:INJE1,WGPR:PRODU2,WGPR:PRODU3,WGPR:PRODU4,WGPR:PRODU5,WGPR:PRODU6,WGPR:PRODU7,WGPR:PRODU8,WGPR:PRODU9,WGPR:PRODU10,WGPR:PRODU11,WGPR:PRODU12,WGPR:PRODU13,WGPR:PRODU14,WGPR:PRODU15,WGPR:PRODU16,WGPR:PRODU17,WGPR:PRODU18,WGPR:PRODU19,WGPR:PRODU20,WGPR:PRODU21,WGPR:PRODU22,WGPR:PRODU23,WGPR:PRODU24,WGPR:PRODU25,WGPR:PRODU26,WGPT:INJE1,WGPT:PRODU2,WGPT:PRODU3,WGPT:PRODU4,WGPT:PRODU5,WGPT:PRODU6,WGPT:PRODU7,WGPT:PRODU8,WGPT:PRODU9,WGPT:PRODU10,WGPT:PRODU11,WGPT:PRODU12,WGPT:PRODU13,WGPT:PRODU14,WGPT:PRODU15,WGPT:PRODU16,WGPT:PRODU17,WGPT:PRODU18,WGPT:PRODU19,WGPT:PRODU20,WGPT:PRODU21,WGPT:PRODU22,WGPT:PRODU23,WGPT:PRODU24,WGPT:PRODU25,WGPT:PRODU26,WOIR:INJE1,WOIR:PRODU2,WOIR:PRODU3,WOIR:PRODU4,WOIR:PRODU5,WOIR:PRODU6,WOIR:PRODU7,WOIR:PRODU8,WOIR:PRODU9,WOIR:PRODU10,WOIR:PRODU11,WOIR:PRODU12,WOIR:PRODU13,WOIR:PRODU14,WOIR:PRODU15,WOIR:PRODU16,WOIR:PRODU17,WOIR:PRODU18,WOIR:PRODU19,WOIR:PRODU20,WOIR:PRODU21,WOIR:PRODU22,WOIR:PRODU23,WOIR:PRODU24,WOIR:PRODU25,WOIR:PRODU26,WOPR:INJE1,WOPR:PRODU2,WOPR:PRODU3,WOPR:PRODU4,WOPR:PRODU5,WOPR:PRODU6,WOPR:PRODU7,WOPR:PRODU8,WOPR:PRODU9,WOPR:PRODU10,WOPR:PRODU11,WOPR:PRODU12,WOPR:PRODU13,WOPR:PRODU14,WOPR:PRODU15,WOPR:PRODU16,WOPR:PRODU17,WOPR:PRODU18,WOPR:PRODU19,WOPR:PRODU20,WOPR:PRODU21,WOPR:PRODU22,WOPR:PRODU23,WOPR:PRODU24,WOPR:PRODU25,WOPR:PRODU26,WOPT:INJE1,WOPT:PRODU2,WOPT:PRODU3,WOPT:PRODU4,WOPT:PRODU5,WOPT:PRODU6,WOPT:PRODU7,WOPT:PRODU8,WOPT:PRODU9,WOPT:PRODU10,WOPT:PRODU11,WOPT:PRODU12,WOPT:PRODU13,WOPT:PRODU14,WOPT:PRODU15,WOPT:PRODU16,WOPT:PRODU17,WOPT:PRODU18,WOPT:PRODU19,WOPT:PRODU20,WOPT:PRODU21,WOPT:PRODU22,WOPT:PRODU23,WOPT:PRODU24,WOPT:PRODU25,WOPT:PRODU26,WWIR:INJE1,WWIR:PRODU2,WWIR:PRODU3,WWIR:PRODU4,WWIR:PRODU5,WWIR:PRODU6,WWIR:PRODU7,WWIR:PRODU8,WWIR:PRODU9,WWIR:PRODU10,WWIR:PRODU11,WWIR:PRODU12,WWIR:PRODU13,WWIR:PRODU14,WWIR:PRODU15,WWIR:PRODU16,WWIR:PRODU17,WWIR:PRODU18,WWIR:PRODU19,WWIR:PRODU20,WWIR:PRODU21,WWIR:PRODU22,WWIR:PRODU23,WWIR:PRODU24,WWIR:PRODU25,WWIR:PRODU26,WWPR:INJE1,WWPR:PRODU2,WWPR:PRODU3,WWPR:PRODU4,WWPR:PRODU5,WWPR:PRODU6,WWPR:PRODU7,WWPR:PRODU8,WWPR:PRODU9,WWPR:PRODU10,WWPR:PRODU11,WWPR:PRODU12,WWPR:PRODU13,WWPR:PRODU14,WWPR:PRODU15,WWPR:PRODU16,WWPR:PRODU17,WWPR:PRODU18,WWPR:PRODU19,WWPR:PRODU20,WWPR:PRODU21,WWPR:PRODU22,WWPR:PRODU23,WWPR:PRODU24,WWPR:PRODU25,WWPR:PRODU26,WWPT:INJE1,WWPT:PRODU2,WWPT:PRODU3,WWPT:PRODU4,WWPT:PRODU5,WWPT:PRODU6,WWPT:PRODU7,WWPT:PRODU8,WWPT:PRODU9,WWPT:PRODU10,WWPT:PRODU11,WWPT:PRODU12,WWPT:PRODU13,WWPT:PRODU14,WWPT:PRODU15,WWPT:PRODU16,WWPT:PRODU17,WWPT:PRODU18,WWPT:PRODU19,WWPT:PRODU20,WWPT:PRODU21,WWPT:PRODU22,WWPT:PRODU23,WWPT:PRODU24,WWPT:PRODU25,WWPT:PRODU26
   0.00,01-Jan-2015,-0,-0,37500,-0,4175.86,3641.7,3702.23,3762.81,3742.61,3783.02,3621.54,3702.23,3823.46,3762.81,3783.02,3742.61,3641.7,3702.23,3762.81,3803.23,3843.69,3762.81,3783.02,3641.7,3702.23,3762.81,3843.69,3783.02,3742.61,3884.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  10.00,11-Jan-2015,242.726,49611.4,36403.8,41.4876,4000,2944.14,2926.53,3356.31,3131.77,2703.64,3217.99,3318.83,2634.62,3267.21,2668.42,2573.31,3027.65,3418.51,3197.02,2841.76,3324.37,3226.45,3206.09,2770.13,1000,2690.45,1000,3331.93,2898.29,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,2001.89,2019.73,2065.72,2036.88,2024.97,2042.71,2053.29,2051,2053.49,2008.46,2077.92,2014.41,2057.1,2055.4,2021.59,2083.86,2037.95,2044.36,2010.17,1763.18,2051.49,1747.86,2062.19,2020.85,1204.9,-0,20018.9,20197.3,20657.2,20368.8,20249.7,20427.1,20532.9,20510,20534.9,20084.6,20779.2,20144.1,20571,20554,20215.9,20838.6,20379.5,20443.6,20101.7,17631.8,20514.9,17478.6,20621.9,20208.5,12049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1205.24,1500,1302.53,1500,1500,896.063,-0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,12052.4,15000,13025.3,15000,15000,8960.63,891.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0110386,0.0445686,0.0305746,0.150131,-0,0.0102305,5.03796,0.0425363,0.216335,0.0294418,-0,0.00831638,0.0434198,0.659939,9.13819,0.0480663,0.10549,-0,0.0100006,0.0510359,10.5173,0.154186,0.0285725,15.1502,-0,-0,0.110386,0.445686,0.305746,1.50131,-0,0.102305,50.3796,0.425363,2.16335,0.294418,-0,0.0831638,0.434198,6.59939,91.3819,0.480663,1.0549,-0,0.100006,0.510359,105.173,1.54186,0.285725,151.502
  20.00,21-Jan-2015,241.733,48598,35806.7,51.1003,4000,2816.54,2793.94,3291.04,3038.88,2569.78,3143.39,3257.92,2295.8,3198.77,2542.85,2458.12,2930.31,3360.43,3117.06,2506.47,3242.19,3141.23,3117.5,2670.75,1000,2558.2,1000,3266.38,2780.65,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,2050.7,1991.58,2037.04,2005.3,1992.49,2020.8,2029.72,2020.62,2026.31,2047.35,2064.61,2027.9,2031.3,2026.53,1989.99,2050.22,2003.96,2010.51,2055.06,1660.81,2096.88,1380.98,2033.9,2013.91,929.615,-0,40525.9,40113.1,41027.6,40421.8,40174.6,40635,40830.1,40716.2,40798,40558.1,41425.3,40423.1,40883.9,40819.2,40115.8,41340.8,40419.1,40548.6,40652.3,34239.9,41483.6,31288.3,40960.9,40347.6,21345.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1100.71,1500,1010.88,1500,1500,695.132,-0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,23059.4,30000,23134.1,30000,30000,15912,767.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0126862,0.0483451,0.0341467,0.167721,-0,0.0112488,6.31746,0.0461686,0.233845,0.0305974,-0,0.00909051,0.0473737,1.06625,19.5547,0.0533865,0.119234,-0,0.00958693,0.052775,10.2625,0.171025,0.0317629,12.8204,-0,-0,0.237248,0.929136,0.647213,3.17852,-0,0.214792,113.554,0.887049,4.50181,0.600393,-0,0.174069,0.907935,17.2619,286.929,1.01453,2.24724,-0,0.195876,1.03811,207.798,3.2521,0.603354,279.706
  30.00,31-Jan-2015,243.812,48655.9,35543.8,87.1562,4000,2731.73,2714.09,3235.53,2963.2,2486.23,3075.12,3202.98,1752.79,3140.48,2476.16,2369.22,2872.12,3310.55,3048.49,2400.91,3163.68,3069.17,3046.06,2597.39,1000,2464.1,1000,3211.38,2704.47,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,2148.9,2090.59,2012.75,2001.89,2070.19,2001.15,2008.86,1994.8,2003.18,2078.53,2077.89,2069.27,2009.09,2001.83,2077.48,2022.99,1994.59,2008.08,2047.35,1610.53,2181.48,1220.79,2010.37,2053.72,859.553,-0,62014.9,61019,61155.1,60440.7,60876.5,60646.6,60918.7,60664.2,60829.8,61343.4,62204.2,61115.8,60974.8,60837.5,60890.6,61570.7,60365,60629.4,61125.8,50345.2,63298.4,43496.3,61064.6,60884.8,29940.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1038.39,1500,882.281,1500,1500,623.083,-0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,33443.3,45000,31956.9,45000,45000,22142.8,732.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0130781,0.0520063,0.0368447,0.174328,-0,0.0122707,7.76713,0.0496669,0.237268,0.0313306,-0,0.00981737,0.0512095,1.13427,49.6805,0.0575911,0.128231,-0,0.00927033,0.0538416,15.6074,0.187241,0.0330003,11.8299,-0,-0,0.368029,1.4492,1.01566,4.9218,-0,0.3375,191.226,1.38372,6.87448,0.913699,-0,0.272243,1.42003,28.6047,783.734,1.59044,3.52956,-0,0.288579,1.57653,363.872,5.12451,0.933357,398.005
  40.00,10-Feb-2015,248.297,49262.7,35337,150.257,4000,2666.17,2655.92,3184.35,2903.71,2429.3,3020.68,3149.8,1000,3083.53,2411.77,2291.7,2824.43,3265.02,2985.51,2312.42,3065.48,3006.27,2985.01,2522.65,1000,2379.9,1000,3162.63,2644.16,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,2175.89,2079.71,1990.46,2054.84,2082.73,2030.42,1994.23,2544.52,1988.65,2058.67,2181.07,2049.82,1988.84,1988.68,2053.37,1997.41,2047.15,2008.41,2165.22,1590.85,2258.44,1050.73,1989.71,2087.47,805.388,-0,83773.8,81816.1,81059.7,80989.1,81703.8,80950.8,80861,86109.4,80716.3,81930.2,84015,81614,80863.2,80724.4,81424.3,81544.8,80836.5,80713.4,82778,66253.7,85882.8,54003.5,80961.7,81759.5,37994.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,988.889,1500,767.094,1500,1500,581.005,-0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,43332.2,60000,39627.9,60000,60000,27952.8,726.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0132404,0.055736,0.0376506,0.176287,-0,0.0133086,9.99503,0.0529129,0.239554,0.0319506,-0,0.0105492,0.0547641,1.17754,103.291,0.0585273,0.13323,-0,0.00903422,0.05484,22.8694,0.203503,0.0336414,11.7453,-0,-0,0.500433,2.00656,1.39217,6.68467,-0,0.470586,291.176,1.91285,9.27002,1.23321,-0,0.377735,1.96767,40.3801,1816.64,2.17571,4.86186,-0,0.378921,2.12493,592.567,7.15954,1.26977,515.459
  50.00,20-Feb-2015,252.706,49885.7,35159.6,191.368,4000,2595.73,2589.39,3135.53,2852.08,2375.46,2976.58,3105.84,1417.94,3035.29,2350.22,2232.9,2777.64,3221.46,2932.99,2194.6,2993.41,2947.97,2923.73,2450.62,1000,2284.38,1000,3116.02,2588.52,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,2375,2228.9,1995.3,2102.7,2076.58,2043.92,2029.38,2046.05,2025.49,2071.15,2218.94,2052.86,1990.42,2049.28,2097.66,2004.34,2177.1,2096.92,2322.35,1610.4,2450.38,911.502,1981.5,2178.11,749.484,-0,107524,104105,101013,102016,102470,101390,101155,106570,100971,102642,106204,102143,100767,101217,102401,101588,102607,101683,106002,82357.7,110387,63118.6,100777,103541,45489.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,942.364,1500,673.755,1500,1500,543.454,-0,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,52755.8,75000,46365.4,75000,75000,33387.4,732.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0136422,0.0579737,0.0381169,0.177794,-0,0.0135322,7.64416,0.0539983,0.242078,0.0323083,-0,0.0112567,0.055451,1.25131,139.382,0.0597605,0.139558,-0,0.0088496,0.0564972,29.674,0.219824,0.0342575,12.2008,-0,-0,0.636856,2.5863,1.77334,8.46261,-0,0.605907,367.617,2.45283,11.6908,1.55629,-0,0.490302,2.52218,52.8932,3210.46,2.77332,6.25744,-0,0.467417,2.6899,889.307,9.35778,1.61235,637.467
  60.00,02-Mar-2015,264.455,51976.5,35005.6,237.706,4000,2524.21,2519.93,3087.82,2800.01,2320.17,2935.53,3066.01,1268.17,2991.51,2289.84,2177.59,2728.43,3177.52,2885.28,2061.23,2928.21,2892.08,2866.66,2381.99,1000,2190.07,1000,3068.99,2536.42,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,2622.41,2504.49,2022.23,2230.83,2105.47,2060.13,2042.23,2079.78,2086.12,2110.84,2263.41,2140.12,2156.23,2086.38,2220.85,1999.45,2358.59,2233.7,2472.96,1640.21,2690.78,817.699,2029,2306.19,696.42,-0,133748,129150,121235,124324,123524,121991,121577,127368,121832,123750,128838,123544,122330,122081,124609,121583,126193,124020,130731,98759.8,137294,71295.5,121067,126602,52453.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,898.725,1500,599.974,1500,1500,506.93,-0,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,61743.1,90000,52365.1,90000,90000,38456.7,745.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0142373,0.0585234,0.0388857,0.179698,-0,0.013673,8.3799,0.0547217,0.245142,0.0326724,-0,0.0116323,0.0560168,1.36257,177.216,0.0612674,0.146552,-0,0.00868727,0.0584107,36.4837,0.230587,0.0349312,13.0189,-0,-0,0.779229,3.17153,2.16219,10.2596,-0,0.742637,451.416,3.00005,14.1422,1.88301,-0,0.606624,3.08235,66.5188,4982.62,3.38599,7.72296,-0,0.55429,3.274,1254.14,11.6637,1.96166,767.656
  70.00,12-Mar-2015,281.923,55231,34892.7,298.924,4000,2452.12,2449.63,3039.7,2748.47,2261.03,2892.05,3021.74,1151.14,2946.74,2227.92,2115.27,2678.58,3134.46,2831.89,1910,2858.87,2837.92,2811.03,2314.82,1000,2118.38,1000,3024.3,2484.32,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,2889.79,2810.07,2095.16,2417.67,2193.98,2137.94,2191.17,2091.54,2217.72,2183.48,2380.86,2258.34,2508.68,2213.48,2437.93,2078.6,2533.56,2410.03,2637.19,1679.35,2852.01,809.234,2102.44,2447.78,653.011,-0,162646,157251,142187,148501,145464,143371,143489,148283,144010,145585,152647,146127,147417,144216,148989,142369,151529,148120,157103,115553,165814,79387.9,142091,151080,58983.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,856.479,1500,565.549,1500,1500,470.696,-0,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,70307.9,105000,58020.6,105000,105000,43163.6,761.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0148819,0.0593519,0.039855,0.182636,-0,0.0140403,9.63291,0.0557812,0.249059,0.0332985,-0,0.0122346,0.0571146,1.5242,227.492,0.0627085,0.151667,-0,0.0085415,0.0598634,44.8832,0.237609,0.0356685,14.1167,-0,-0,0.928047,3.76505,2.56074,12.086,-0,0.88304,547.746,3.55786,16.6328,2.216,-0,0.72897,3.6535,81.7608,7257.54,4.01308,9.23963,-0,0.639705,3.87264,1702.98,14.0397,2.31834,908.823
  80.00,22-Mar-2015,303.168,59197.5,34777.8,379.035,4000,2380.06,2378.62,2992.93,2697.54,2198.23,2841.32,2977.37,1000,2901.58,2166.88,2047.12,2627.06,3092.4,2779.88,1747.02,2791.61,2783.28,2756.95,2246.74,1000,2013.33,1000,2982.51,2433.21,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,3173.76,3125.11,2156.67,2599.19,2342.51,2353.39,2401.07,2147.69,2435.8,2315.79,2552.45,2391.05,2911.78,2367.13,2645.96,2141.19,2732.16,2598.87,2838.39,1722.34,3081.97,794.505,2160.52,2594.67,613.49,-0,194383,188502,163753,174493,168889,166905,167500,169760,168368,168743,178172,170038,176534,167887,175448,163780,178850,174109,185487,132777,196634,87332.9,163696,177027,65118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1492.14,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,816.846,1500,533.788,1500,1500,435.078,-0,120000,120000,120000,120000,120000,120000,120000,119921,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,78476.3,120000,63358.5,120000,120000,47514.4,779.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0155518,0.0601133,0.0408051,0.186724,-0,0.0145225,11.3076,0.0572802,0.254137,0.0341358,-0,0.0129227,0.0583341,1.72277,295.874,0.0642689,0.156747,-0,0.0083951,0.0620686,53.3531,0.244195,0.0364115,15.471,-0,-0,1.08356,4.36618,2.96879,13.9532,-0,1.02826,660.822,4.13066,19.1742,2.55735,-0,0.858197,4.23684,98.9885,10216.3,4.65576,10.8071,-0,0.723656,4.49332,2236.51,16.4817,2.68246,1063.53
  90.00,01-Apr-2015,327.833,63666.2,34589.1,462.868,4000,2306.07,2308.73,2945.37,2645.57,2134.51,2788.54,2931.08,1000,2856.23,2105.59,1973.85,2571.6,3047.94,2727.26,1562.06,2723.26,2726.48,2699.65,2173.08,1000,1834.24,1000,2940.94,2381.5,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,3472.4,3436.41,2244.36,2788.74,2535.68,2593.29,2653.32,2085.05,2681.87,2446.97,2753.03,2565.68,3358.61,2520.08,2825.88,2285.44,2961.62,2841.18,3079.68,1762.52,3440.7,777.131,2215.15,2763.84,577.591,-0,229107,222866,186197,202380,194246,192837,194033,190610,195186,193212,205702,195694,210120,193088,203707,186635,208467,202520,216284,150402,231041,95104.2,185848,204665,70894.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1500,1500,1500,1500,1500,1500,1500,1404.28,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,778.418,1500,506.926,1500,1500,399.44,-0,135000,135000,135000,135000,135000,135000,135000,133964,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,86260.5,135000,68427.8,135000,135000,51508.8,797.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0.0161744,0.0609679,0.0417901,0.191623,-0,0.0150695,12.033,0.0589169,0.259359,0.0351242,-0,0.0136702,0.0595381,1.97263,368.265,0.066027,0.162722,-0,0.00823732,0.0688898,62.2953,0.250948,0.0372293,16.9563,-0,-0,1.24531,4.97586,3.3867,15.8694,-0,1.17896,781.152,4.71983,21.7678,2.9086,-0,0.9949,4.83222,118.715,13898.9,5.31603,12.4343,-0,0.806029,5.18222,2859.46,18.9912,3.05475,1233.1
